...................++++++++++..........+++++++++++...........+++++++++++..........++++++++++........ : Generation 156 -- Population: 150, Species: 15, Max Fitness: 1176.36364238 (15325),
......++++++++++++............++++++++++++...........+++++++++...........++++++++++++...........+... : Generation 157 -- Population: 149, Species: 15, Max Fitness: 1176.36364238 (15325),
.......+++++++++++...........+++++++++++............+++++++++++...........+++++++++++..........+.... : Generation 158 -- Population: 150, Species: 15, Max Fitness: 1176.36364238 (15325),
..............++++++++++++...........++++++++++..........++++++++++++............+++++++++++.+++++++ : Generation 159 -- Population: 150, Species: 14, Max Fitness: 1176.36364238 (15325),
........++++++++++++..........++++++++++++..........+++++++++++............++++++++++++.++++++++++++ : Generation 160 -- Population: 147, Species: 14, Max Fitness: 1176.36364238 (15325),
........++++++++++++............++++++++++++...........++++++++++++............+++++++++++++.+++++++ : Generation 161 -- Population: 150, Species: 14, Max Fitness: 1176.36364238 (15325),
.......++++++++++++...........++++++++++++............++++++++++++............++++++++++++.+++++++++ : Generation 162 -- Population: 150, Species: 14, Max Fitness: 1176.36364238 (15325),
.........++++++++++++.........+++++++++++..........++++++++++++............+++++++++++.++++++++++++. : Generation 163 -- Population: 145, Species: 14, Max Fitness: 1176.36364238 (15325),
............++++++++++++...........++++++++++++............++++++++++++...........++++++++++.+++++++ : Generation 164 -- Population: 150, Species: 14, Max Fitness: 1176.36364238 (15325),
........++++++++++++..........++++++++++++...........++++++++++++............++++++++++.++++++++++++ : Generation 165 -- Population: 146, Species: 14, Max Fitness: 1176.36364238 (15325),
..........+++++++++++............++++++++++++...........++++++++++++...........++++++++++.++++++++++ : Generation 166 -- Population: 148, Species: 14, Max Fitness: 1176.36364238 (15325),
..........++++++++++++............++++++++++++............++++++++++++............+++++++.++++++++++ : Generation 167 -- Population: 147, Species: 14, Max Fitness: 1176.36364238 (15325),
..........++++++++++++............++++++++++++..........++++++++++++............+++++++++++.++++++++ : Generation 168 -- Population: 148, Species: 14, Max Fitness: 1176.36364238 (15325),
..........++++++++++++............++++++++++++..........++++++++++++............+++++++++++++.++++++ : Generation 169 -- Population: 149, Species: 14, Max Fitness: 1176.36364238 (15325),
........++++++++++++...........++++++++++++...........++++++++++++............++++++++++++.+++++++++ : Generation 170 -- Population: 149, Species: 14, Max Fitness: 1176.36364238 (15325),
.........++++++++++++..........++++++++++++............++++++++++++...........++++++++++++.+++++++++ : Generation 171 -- Population: 148, Species: 14, Max Fitness: 1176.36364238 (15325),
..........++++++++++++...........++++++++++++............++++++++++++............+++++++++++.+++++++ : Generation 172 -- Population: 149, Species: 14, Max Fitness: 1176.36364238 (15325),
.......++++++++++++............++++++++++++...........+++++++++++............+++++++++++++.+++++++++ : Generation 173 -- Population: 150, Species: 14, Max Fitness: 1176.36364238 (15325),
.......++++++++++++............++++++++++++...........++++++++++++............+++++++++++++.++++++++ : Generation 174 -- Population: 150, Species: 14, Max Fitness: 1176.36364238 (15325),
........++++++++++++...........++++++++++++...........++++++++++++............++++++++++++.+++++++++ : Generation 175 -- Population: 150, Species: 14, Max Fitness: 1176.36364238 (15325),
.........++++++++++++............++++++++++++...........++++++++++++...........+++++++++++++.+++++++ : Generation 176 -- Population: 150, Species: 14, Max Fitness: 1176.36364238 (15325),
.........++++++++++++..........++++++++++++..........++++++++++++............+++++++++++.+++++++++++ : Generation 177 -- Population: 146, Species: 14, Max Fitness: 1176.36364238 (15325),
